#LAMBDA    g      r        i      z        Y     atm
5280.0 0.64783 0.00000 0.00000 0.00000 0.00000 0.82776
5285.0 0.64820 0.00000 0.00000 0.00000 0.00000 0.82784
5290.0 0.64857 0.00000 0.00000 0.00000 0.00000 0.82790
5295.0 0.64900 0.00000 0.00000 0.00000 0.00000 0.82805
5300.0 0.64943 0.00000 0.00000 0.00000 0.00000 0.82820
5305.0 0.65046 0.00000 0.00000 0.00000 0.00000 0.82835
5310.0 0.65150 0.00000 0.00000 0.00000 0.00000 0.82851
5315.0 0.65246 0.00000 0.00000 0.00000 0.00000 0.82857
5320.0 0.65356 0.00000 0.00000 0.00000 0.00000 0.82881
5325.0 0.65459 0.00000 0.00000 0.00000 0.00000 0.82904
5330.0 0.65569 0.00000 0.00000 0.00000 0.00000 0.82936
5335.0 0.65679 0.00000 0.00000 0.00000 0.00000 0.82967
5340.0 0.65790 0.00000 0.00000 0.00000 0.00000 0.83000
5345.0 0.65922 0.00000 0.00000 0.00000 0.00000 0.83040
5350.0 0.66062 0.00000 0.00000 0.00000 0.00000 0.83089
5355.0 0.66195 0.00000 0.00000 0.00000 0.00000 0.83129
5360.0 0.66329 0.00000 0.00000 0.00000 0.00000 0.83169
5365.0 0.66277 0.00000 0.00000 0.00000 0.00000 0.83201
5370.0 0.66232 0.00000 0.00000 0.00000 0.00000 0.83242
5375.0 0.66180 0.00000 0.00000 0.00000 0.00000 0.83273
5380.0 0.66122 0.00000 0.00000 0.00000 0.00000 0.83297
5385.0 0.65961 0.00000 0.00000 0.00000 0.00000 0.83303
5390.0 0.65812 0.00000 0.00000 0.00000 0.00000 0.83326
5395.0 0.65651 0.00000 0.00000 0.00000 0.00000 0.83333
5400.0 0.65496 0.00000 0.00000 0.00000 0.00000 0.83347
5405.0 0.65642 0.00115 0.00000 0.00000 0.00000 0.83362
5410.0 0.65767 0.00229 0.00000 0.00000 0.00000 0.83352
5415.0 0.65907 0.00243 0.00000 0.00000 0.00000 0.83359
5420.0 0.66045 0.00257 0.00000 0.00000 0.00000 0.83364
5425.0 0.66485 0.00276 0.00000 0.00000 0.00000 0.83387
5430.0 0.66925 0.00296 0.00000 0.00000 0.00000 0.83410
5435.0 0.67344 0.00315 0.00000 0.00000 0.00000 0.83407
5440.0 0.67785 0.00335 0.00000 0.00000 0.00000 0.83431
5445.0 0.65560 0.00359 0.00000 0.00000 0.00000 0.83453
5450.0 0.63328 0.00383 0.00000 0.00000 0.00000 0.83467
5455.0 0.61088 0.00407 0.00000 0.00000 0.00000 0.83473
5460.0 0.58855 0.00431 0.00000 0.00000 0.00000 0.83488
5465.0 0.50518 0.00455 0.00000 0.00000 0.00000 0.83510
5470.0 0.42190 0.00481 0.00000 0.00000 0.00000 0.83559
5475.0 0.33838 0.00505 0.00000 0.00000 0.00000 0.83572
5480.0 0.25488 0.00530 0.00000 0.00000 0.00000 0.83603
5485.0 0.20347 0.00567 0.00000 0.00000 0.00000 0.83635
5490.0 0.15200 0.00603 0.00000 0.00000 0.00000 0.83658
5495.0 0.10052 0.00640 0.00000 0.00000 0.00000 0.83689
5500.0 0.04900 0.00676 0.00000 0.00000 0.00000 0.83720
5505.0 0.03950 0.00718 0.00000 0.00000 0.00000 0.83743
5510.0 0.03000 0.00761 0.00000 0.00000 0.00000 0.83774
5515.0 0.02049 0.00803 0.00000 0.00000 0.00000 0.83788
5520.0 0.01099 0.00846 0.00000 0.00000 0.00000 0.83819
5525.0 0.00887 0.00897 0.00000 0.00000 0.00000 0.83824
5530.0 0.00676 0.00948 0.00000 0.00000 0.00000 0.83838
5535.0 0.00464 0.01000 0.00000 0.00000 0.00000 0.83852
5540.0 0.00253 0.01051 0.00000 0.00000 0.00000 0.83866
5545.0 0.00213 0.01121 0.00000 0.00000 0.00000 0.83888
5550.0 0.00174 0.01191 0.00000 0.00000 0.00000 0.83902
5555.0 0.00134 0.01261 0.00000 0.00000 0.00000 0.83916
5560.0 0.00095 0.01331 0.00000 0.00000 0.00000 0.83930
5565.0 0.00085 0.01425 0.00000 0.00000 0.00000 0.83926
5570.0 0.00075 0.01518 0.00000 0.00000 0.00000 0.83932
